Question,Answer
මේසයක පළල මීටර 7 ක් වේ එහි දිග පළල මෙන් 62 ගුණයකි   මේසයේ දිග කොපමණ ද?,434
කෙසෙල් ගෙඩි 840 ක් ඇත කෙසෙල් ගෙඩි 210 ක් බැගින් වෙන් කලහොත් එසේ වෙන් කළ හැකි කොටස් ගණන කීයද?,4
බෝල 450  ක් ඇත  බෝල 6 ක් බැගින් වෙන් කල හැකි කොටස් ගණන කීයද?,75
බස් රථයක මගීන් 58 දෙනෙකුට ගමන් කළ හැකි ය එවැනි බස් රථ 198 ක ගමන් කළ හැකි මුළු මගීන් සංඛ්‍යාව කොපමණ ද?,11484
මීටර 90 ක් දිග කම්බියක් ඇත සමාන කැබලි 15 බැගින් කැබලි කොපමණ ප්‍රමාණයක් කැපිය හැකි ද?,6
සහල් මල්ලක බර කිලෝග්‍රෑම් 5 කි ලූනු  මල්ලක බර සහල් මල්ලක බර මෙන් 32 ගුණයක්  ලූනු  මල්ලක බර කොපමණ ද?,160
යෝගට් 720 ක් ඇත යෝගට් 240 බැගින් වූ ඇසුරුම් කොපමණ සංඛ්‍යාවක් සෑදිය හැකි ද?,3
කූඩයක නාරං ගෙඩි 2 ක් ඇත එවැනි කූඩ 11 ඇති මුළු නාරං ගෙඩි ගණන කීය ද?,22
සුමුදුගේ දැන් වයස අවුරුදු 9 කි ඇගේ අක්කාගේ දැන් වයස සුමුදුගේ දැන් වයස මෙන් 7 ගුණයක්  අක්කාගේ දැන් වයස කීය ද?,63
ගොඩක ගඩොල් කැට 493 ක් තිබේ එවැනි ගොඩවල් 24 ක ඇත ගඩොල් ප‍්‍රමාණය කොපමණ ද?,11832
බස් රථයක මගීන් 58 දෙනෙකුට ගමන් කළ හැකි ය එවැනි බස් රථ 258 ක ගමන් කළ හැකි මුළු මගීන් සංඛ්‍යාව කොපමණ ද?,14964
කෙසෙල් ගෙඩි 840 ක් ඇත කෙසෙල් ගෙඩි 120 ක් බැගින් වෙන් කලහොත් එසේ වෙන් කළ හැකි කොටස් ගණන කීයද?,7
අඹ ගෙඩි 1200 ක් ඇත අඹ ගෙඩි 200 බැගින් පෙට්ටි වලට වෙන් කලහොත් එසේ වෙන් කළ හැකි පෙට්ටි ගණන කීයද?,6
කඩයක මිනිසුන් 67 දෙනෙකු සිටී එවැනි කඩ 57 ක සිටින මුළු මිනිසුන් ගණන කීයද?,3819
කණුවකට බැලූන් බෝල 12 ක් බැගින් බැලූන් බෝල 600 ක් ගැට ගැසීමට අවශ්‍ය කණු ගණන කීය ද?,50
අඹ ගෙඩි 1200 ක් ඇත අඹ ගෙඩි 6 බැගින් පෙට්ටි වලට වෙන් කලහොත් එසේ වෙන් කළ හැකි පෙට්ටි ගණන කීයද?,200
කෙසෙල් ගෙඩි 840 ක් ඇත කෙසෙල් ගෙඩි 84 ක් බැගින් වෙන් කලහොත් එසේ වෙන් කළ හැකි කොටස් ගණන කීයද?,10
මේසයක පළල මීටර 7 ක් වේ එහි දිග පළල මෙන් 172 ගුණයකි   මේසයේ දිග කොපමණ ද?,1204
පෙළකට පුටු 17 ක් තබා ඇත එවැනි පේළි 125 ක ඇති මුළු පුටු ගණන කීය ද?,2125
ගොඩක ගඩොල් කැට 493 ක් තිබේ එවැනි ගොඩවල් 21 ක ඇත ගඩොල් ප‍්‍රමාණය කොපමණ ද?,10353
පාර්ලිමේන්තුවක හරක් 225 ක් සිටි එවැනි පාර්ලිමේන්තු 53 ක සිටින මුළු හරක් ගණන කීයද?,11925
පෑනක මිල රුපියල් 12 කි එවැනි පෑන් 5 ක මිල කොපමණ ද?,60
සහල් මල්ලක බර කිලෝග්‍රෑම් 5 කි ලූනු  මල්ලක බර සහල් මල්ලක බර මෙන් 52 ගුණයක්  ලූනු  මල්ලක බර කොපමණ ද?,260
කෙසෙල් ගෙඩි 840 ක් ඇත කෙසෙල් ගෙඩි 35 ක් බැගින් වෙන් කලහොත් එසේ වෙන් කළ හැකි කොටස් ගණන කීයද?,24
  පෙට්ටියක පැන්සල් 4 ක් තිබේ එවැනි පෙට්ටි 36 ඇති මුළු පැන්සල් ගණන කොපමණ ද?,144
කණුවකට බැලූන් බෝල 100 ක් බැගින් බැලූන් බෝල 600 ක් ගැට ගැසීමට අවශ්‍ය කණු ගණන කීය ද?,6
පැන්සල් 420 ක් ඇත ළමයෙකුට පැන්සල් 14 බැගින් ළමයි කී දෙනෙකුට ලබා දිය හැකි ද?,30
මේසයක පළල මීටර 7 ක් වේ එහි දිග පළල මෙන් 132 ගුණයකි   මේසයේ දිග කොපමණ ද?,924
කඩයක මිනිසුන් 67 දෙනෙකු සිටී එවැනි කඩ 32 ක සිටින මුළු මිනිසුන් ගණන කීයද?,2144
කූඩයක නාරං ගෙඩි 2 ක් ඇත එවැනි කූඩ 15 ඇති මුළු නාරං ගෙඩි ගණන කීය ද?,30
පැන්සල් 420 ක් ඇත ළමයෙකුට පැන්සල් 84 බැගින් ළමයි කී දෙනෙකුට ලබා දිය හැකි ද?,5
පාර්ලිමේන්තුවක හරක් 225 ක් සිටි එවැනි පාර්ලිමේන්තු 83 ක සිටින මුළු හරක් ගණන කීයද?,18675
කූඩයක නාරං ගෙඩි 2 ක් ඇත එවැනි කූඩ 8 ඇති මුළු නාරං ගෙඩි ගණන කීය ද?,16
කණුවකට බැලූන් බෝල 25 ක් බැගින් බැලූන් බෝල 600 ක් ගැට ගැසීමට අවශ්‍ය කණු ගණන කීය ද?,24
සුමුදුගේ දැන් වයස අවුරුදු 9 කි ඇගේ අක්කාගේ දැන් වයස සුමුදුගේ දැන් වයස මෙන් 5 ගුණයක්  අක්කාගේ දැන් වයස කීය ද?,45
බිස්කට් 300 ක් ඇත ළමයෙකුට බිස්කට් 25 බැගින් ළමයි කී දෙනෙකුට ලබා දිය හැකි ද?,12
කණුවකට බැලූන් බෝල 60 ක් බැගින් බැලූන් බෝල 600 ක් ගැට ගැසීමට අවශ්‍ය කණු ගණන කීය ද?,10
කණුවකට බැලූන් බෝල 10 ක් බැගින් බැලූන් බෝල 600 ක් ගැට ගැසීමට අවශ්‍ය කණු ගණන කීය ද?,60
කණුවකට බැලූන් බෝල 20 ක් බැගින් බැලූන් බෝල 600 ක් ගැට ගැසීමට අවශ්‍ය කණු ගණන කීය ද?,30
පාර්ලිමේන්තුවක හරක් 225 ක් සිටි එවැනි පාර්ලිමේන්තු 33 ක සිටින මුළු හරක් ගණන කීයද?,7425
මීටර 60 ක් දිග ඉටි රෙද්දක් ඇත මේසවලට දැමීම සදහා සමාන දිගින් යුතු කැබලි 6 බැගින් කැබලි කොපමණ ප්‍රමාණයක් කැපිය හැකි ද?,10
කඩයක මිනිසුන් 67 දෙනෙකු සිටී එවැනි කඩ 47 ක සිටින මුළු මිනිසුන් ගණන කීයද?,3149
පොත් 900 ක් ඇත අයකුට 3 බැගින් කී දෙනෙකුට ලබා දිය හැකි ද?,300
මාරි බිස්කට් පැකට් එකක මිල රුපියල් 100 කි පෙට්‍රෝල් ලීටර එකක මිල මාරි බිස්කට් පැකට් එකක මිල මෙන් 24 ගුණයකි  පෙට්‍රෝල් ලීටරයක මිල කීයද?,2400
කෙසෙල් ගෙඩි 840 ක් ඇත කෙසෙල් ගෙඩි 420 ක් බැගින් වෙන් කලහොත් එසේ වෙන් කළ හැකි කොටස් ගණන කීයද?,2
කෙසෙල් ගෙඩි 840 ක් ඇත කෙසෙල් ගෙඩි 15 ක් බැගින් වෙන් කලහොත් එසේ වෙන් කළ හැකි කොටස් ගණන කීයද?,56
ගොඩක ගඩොල් කැට 493 ක් තිබේ එවැනි ගොඩවල් 45 ක ඇත ගඩොල් ප‍්‍රමාණය කොපමණ ද?,22185
කූඩයක නාරං ගෙඩි 2 ක් ඇත එවැනි කූඩ 4 ඇති මුළු නාරං ගෙඩි ගණන කීය ද?,8
මකනයක  මිල රුපියල් 20 කි පොතක මිල මකනයක මිල මෙන් 3 ගුණයක්  පොතක මිල කොපමණ ද?,60
සහල් මල්ලක බර කිලෝග්‍රෑම් 5 කි ලූනු  මල්ලක බර සහල් මල්ලක බර මෙන් 16 ගුණයක්  ලූනු  මල්ලක බර කොපමණ ද?,80
බස් රථයක මගීන් 58 දෙනෙකුට ගමන් කළ හැකි ය එවැනි බස් රථ 208 ක ගමන් කළ හැකි මුළු මගීන් සංඛ්‍යාව කොපමණ ද?,12064
මකනයක  මිල රුපියල් 20 කි පොතක මිල මකනයක මිල මෙන් 18 ගුණයක්  පොතක මිල කොපමණ ද?,360
කඩයක මිනිසුන් 67 දෙනෙකු සිටී එවැනි කඩ 17 ක සිටින මුළු මිනිසුන් ගණන කීයද?,1139
පෙළකට පුටු 17 ක් තබා ඇත එවැනි පේළි 132 ක ඇති මුළු පුටු ගණන කීය ද?,2244
පෑනක මිල රුපියල් 12 කි එවැනි පෑන් 9 ක මිල කොපමණ ද?,108
පැන්සල් 420 ක් ඇත ළමයෙකුට පැන්සල් 3 බැගින් ළමයි කී දෙනෙකුට ලබා දිය හැකි ද?,140
කෙසෙල් ගෙඩි 840 ක් ඇත කෙසෙල් ගෙඩි 60 ක් බැගින් වෙන් කලහොත් එසේ වෙන් කළ හැකි කොටස් ගණන කීයද?,14
යෝගට් 720 ක් ඇත යෝගට් 80 බැගින් වූ ඇසුරුම් කොපමණ සංඛ්‍යාවක් සෑදිය හැකි ද?,9
පොත් 900 ක් ඇත අයකුට 225 බැගින් කී දෙනෙකුට ලබා දිය හැකි ද?,4
පෑනක මිල රුපියල් 12 කි එවැනි පෑන් 29 ක මිල කොපමණ ද?,348
මේසයක පළල මීටර 7 ක් වේ එහි දිග පළල මෙන් 22 ගුණයකි   මේසයේ දිග කොපමණ ද?,154
කෙසෙල් ගෙඩි 840 ක් ඇත කෙසෙල් ගෙඩි 6 ක් බැගින් වෙන් කලහොත් එසේ වෙන් කළ හැකි කොටස් ගණන කීයද?,140
පැන්සල් 420 ක් ඇත ළමයෙකුට පැන්සල් 10 බැගින් ළමයි කී දෙනෙකුට ලබා දිය හැකි ද?,42
සුමුදුගේ දැන් වයස අවුරුදු 9 කි ඇගේ අක්කාගේ දැන් වයස සුමුදුගේ දැන් වයස මෙන් 3 ගුණයක්  අක්කාගේ දැන් වයස කීය ද?,27
  පෙට්ටියක පැන්සල් 4 ක් තිබේ එවැනි පෙට්ටි 30 ඇති මුළු පැන්සල් ගණන කොපමණ ද?,120
මාරි බිස්කට් පැකට් එකක මිල රුපියල් 100 කි පෙට්‍රෝල් ලීටර එකක මිල මාරි බිස්කට් පැකට් එකක මිල මෙන් 26 ගුණයකි  පෙට්‍රෝල් ලීටරයක මිල කීයද?,2600
යෝගට් 720 ක් ඇත යෝගට් 10 බැගින් වූ ඇසුරුම් කොපමණ සංඛ්‍යාවක් සෑදිය හැකි ද?,72
පෑනක මිල රුපියල් 12 කි එවැනි පෑන් 7 ක මිල කොපමණ ද?,84
යෝගට් 720 ක් ඇත යෝගට් 2 බැගින් වූ ඇසුරුම් කොපමණ සංඛ්‍යාවක් සෑදිය හැකි ද?,360
මකනයක  මිල රුපියල් 20 කි පොතක මිල මකනයක මිල මෙන් 5 ගුණයක්  පොතක මිල කොපමණ ද?,100
පාර්ලිමේන්තුවක හරක් 225 ක් සිටි එවැනි පාර්ලිමේන්තු 49 ක සිටින මුළු හරක් ගණන කීයද?,11025
බස් රථයක මගීන් 58 දෙනෙකුට ගමන් කළ හැකි ය එවැනි බස් රථ 88 ක ගමන් කළ හැකි මුළු මගීන් සංඛ්‍යාව කොපමණ ද?,5104
අඹ ගෙඩි 1200 ක් ඇත අඹ ගෙඩි 24 බැගින් පෙට්ටි වලට වෙන් කලහොත් එසේ වෙන් කළ හැකි පෙට්ටි ගණන කීයද?,50
මකනයක  මිල රුපියල් 20 කි පොතක මිල මකනයක මිල මෙන් 7 ගුණයක්  පොතක මිල කොපමණ ද?,140
මීටර 60 ක් දිග ඉටි රෙද්දක් ඇත මේසවලට දැමීම සදහා සමාන දිගින් යුතු කැබලි 30 බැගින් කැබලි කොපමණ ප්‍රමාණයක් කැපිය හැකි ද?,2
මීටර 90 ක් දිග කම්බියක් ඇත සමාන කැබලි 10 බැගින් කැබලි කොපමණ ප්‍රමාණයක් කැපිය හැකි ද?,9
යෝගට් 720 ක් ඇත යෝගට් 20 බැගින් වූ ඇසුරුම් කොපමණ සංඛ්‍යාවක් සෑදිය හැකි ද?,36
පෑනක මිල රුපියල් 12 කි එවැනි පෑන් 21 ක මිල කොපමණ ද?,252
මාරි බිස්කට් පැකට් එකක මිල රුපියල් 100 කි පෙට්‍රෝල් ලීටර එකක මිල මාරි බිස්කට් පැකට් එකක මිල මෙන් 8 ගුණයකි  පෙට්‍රෝල් ලීටරයක මිල කීයද?,800
පොත් 900 ක් ඇත අයකුට 10 බැගින් කී දෙනෙකුට ලබා දිය හැකි ද?,90
ගොඩක ගඩොල් කැට 493 ක් තිබේ එවැනි ගොඩවල් 48 ක ඇත ගඩොල් ප‍්‍රමාණය කොපමණ ද?,23664
පාර්ලිමේන්තුවක හරක් 225 ක් සිටි එවැනි පාර්ලිමේන්තු 43 ක සිටින මුළු හරක් ගණන කීයද?,9675
පොත් 900 ක් ඇත අයකුට 50 බැගින් කී දෙනෙකුට ලබා දිය හැකි ද?,18
සුමුදුගේ දැන් වයස අවුරුදු 9 කි ඇගේ අක්කාගේ දැන් වයස සුමුදුගේ දැන් වයස මෙන් 10 ගුණයක්  අක්කාගේ දැන් වයස කීය ද?,90
පෙට්ටියක පැන්සල් 4 ක් තිබේ එවැනි පෙට්ටි 16 ඇති මුළු පැන්සල් ගණන කොපමණ ද?,64
සහල් මල්ලක බර කිලෝග්‍රෑම් 5 කි ලූනු  මල්ලක බර සහල් මල්ලක බර මෙන් 72 ගුණයක්  ලූනු  මල්ලක බර කොපමණ ද?,360
ගොඩක ගඩොල් කැට 493 ක් තිබේ එවැනි ගොඩවල් 9 ක ඇත ගඩොල් ප‍්‍රමාණය කොපමණ ද?,4437
පෙළකට පුටු 17 ක් තබා ඇත එවැනි පේළි 117 ක ඇති මුළු පුටු ගණන කීය ද?,1989
මකනයක  මිල රුපියල් 20 කි පොතක මිල මකනයක මිල මෙන් 13 ගුණයක්  පොතක මිල කොපමණ ද?,260
පෙට්ටියක පැන්සල් 4 ක් තිබේ එවැනි පෙට්ටි 10 ඇති මුළු පැන්සල් ගණන කොපමණ ද?,40
අඹ ගෙඩි 1200 ක් ඇත අඹ ගෙඩි 100 බැගින් පෙට්ටි වලට වෙන් කලහොත් එසේ වෙන් කළ හැකි පෙට්ටි ගණන කීයද?,12
සහල් මල්ලක බර කිලෝග්‍රෑම් 5 කි ලූනු  මල්ලක බර සහල් මල්ලක බර මෙන් 56 ගුණයක්  ලූනු  මල්ලක බර කොපමණ ද?,280
මේසයක පළල මීටර 7 ක් වේ එහි දිග පළල මෙන් 192 ගුණයකි   මේසයේ දිග කොපමණ ද?,1344
අඹ ගෙඩි 1200 ක් ඇත අඹ ගෙඩි 15 බැගින් පෙට්ටි වලට වෙන් කලහොත් එසේ වෙන් කළ හැකි පෙට්ටි ගණන කීයද?,80
අඹ ගෙඩි 1200 ක් ඇත අඹ ගෙඩි 48 බැගින් පෙට්ටි වලට වෙන් කලහොත් එසේ වෙන් කළ හැකි පෙට්ටි ගණන කීයද?,25
බස් රථයක මගීන් 58 දෙනෙකුට ගමන් කළ හැකි ය එවැනි බස් රථ 128 ක ගමන් කළ හැකි මුළු මගීන් සංඛ්‍යාව කොපමණ ද?,7424
සහල් මල්ලක බර කිලෝග්‍රෑම් 5 කි ලූනු  මල්ලක බර සහල් මල්ලක බර මෙන් 48 ගුණයක්  ලූනු  මල්ලක බර කොපමණ ද?,240
පෙළකට පුටු 17 ක් තබා ඇත එවැනි පේළි 119 ක ඇති මුළු පුටු ගණන කීය ද?,2023
බෝල 450  ක් ඇත බෝල 18 ක් බැගින් වෙන් කල හැකි කොටස් ගණන කීයද?,25
කණුවකට බැලූන් බෝල 5 ක් බැගින් බැලූන් බෝල 600 ක් ගැට ගැසීමට අවශ්‍ය කණු ගණන කීය ද?,120
කඩයක මිනිසුන් 67 දෙනෙකු සිටී එවැනි කඩ 22 ක සිටින මුළු මිනිසුන් ගණන කීයද?,1474
කණුවකට බැලූන් බෝල 30 ක් බැගින් බැලූන් බෝල 600 ක් ගැට ගැසීමට අවශ්‍ය කණු ගණන කීය ද?,20
බිස්කට් 300 ක් ඇත ළමයෙකුට බිස්කට් 3 බැගින් ළමයි කී දෙනෙකුට ලබා දිය හැකි ද?,100
බස් රථයක මගීන් 58 දෙනෙකුට ගමන් කළ හැකි ය එවැනි බස් රථ 178 ක ගමන් කළ හැකි මුළු මගීන් සංඛ්‍යාව කොපමණ ද?,10324
පොත් 900 ක් ඇත අයකුට 90 බැගින් කී දෙනෙකුට ලබා දිය හැකි ද?,10
කඩයක මිනිසුන් 67 දෙනෙකු සිටී එවැනි කඩ 42 ක සිටින මුළු මිනිසුන් ගණන කීයද?,2814
පෑනක මිල රුපියල් 12 කි එවැනි පෑන් 25 ක මිල කොපමණ ද?,300
ගොඩක ගඩොල් කැට 493 ක් තිබේ එවැනි ගොඩවල් 54 ක ඇත ගඩොල් ප‍්‍රමාණය කොපමණ ද?,26622
මේසයක පළල මීටර 7 ක් වේ එහි දිග පළල මෙන් 152 ගුණයකි   මේසයේ දිග කොපමණ ද?,1064
යෝගට් 720 ක් ඇත යෝගට් 15 බැගින් වූ ඇසුරුම් කොපමණ සංඛ්‍යාවක් සෑදිය හැකි ද?,48
ගොඩක ගඩොල් කැට 493 ක් තිබේ එවැනි ගොඩවල් 51 ක ඇත ගඩොල් ප‍්‍රමාණය කොපමණ ද?,25143
බස් රථයක මගීන් 58 දෙනෙකුට ගමන් කළ හැකි ය එවැනි බස් රථ 98 ක ගමන් කළ හැකි මුළු මගීන් සංඛ්‍යාව කොපමණ ද?,5684
පැන්සල් 420 ක් ඇත ළමයෙකුට පැන්සල් 21 බැගින් ළමයි කී දෙනෙකුට ලබා දිය හැකි ද?,20
මකනයක  මිල රුපියල් 20 කි පොතක මිල මකනයක මිල මෙන් 10 ගුණයක්  පොතක මිල කොපමණ ද?,200
බෝල 450  ක් ඇත බෝල 50 ක් බැගින් වෙන් කල හැකි කොටස් ගණන කීයද?,9
පාර්ලිමේන්තුවක හරක් 225 ක් සිටි  එවැනි පාර්ලිමේන්තු 13 ක සිටින මුළු හරක් ගණන කීයද?,2925
අඹ ගෙඩි 1200 ක් ඇත අඹ ගෙඩි 30 බැගින් පෙට්ටි වලට වෙන් කලහොත් එසේ වෙන් කළ හැකි පෙට්ටි ගණන කීයද?,40
යෝගට් 720 ක් ඇත යෝගට් 30 බැගින් වූ ඇසුරුම් කොපමණ සංඛ්‍යාවක් සෑදිය හැකි ද?,24
පෙළකට පුටු 17 ක් තබා ඇත එවැනි පේළි 130 ක ඇති මුළු පුටු ගණන කීය ද?,2210
පැන්සල් 420 ක් ඇත ළමයෙකුට පැන්සල් 5 බැගින් ළමයි කී දෙනෙකුට ලබා දිය හැකි ද?,84
බස් රථයක මගීන් 58 දෙනෙකුට ගමන් කළ හැකි ය එවැනි බස් රථ 238 ක ගමන් කළ හැකි මුළු මගීන් සංඛ්‍යාව කොපමණ ද?,13804
  පෙට්ටියක පැන්සල් 4 ක් තිබේ එවැනි පෙට්ටි 32 ඇති මුළු පැන්සල් ගණන කොපමණ ද?,128
කූඩයක නාරං ගෙඩි 2 ක් ඇත එවැනි කූඩ 12 ඇති මුළු නාරං ගෙඩි ගණන කීය ද?,24
පෙළකට පුටු 17 ක් තබා ඇත එවැනි පේළි 121 ක ඇති මුළු පුටු ගණන කීය ද?,2057
කඩයක මිනිසුන් 67 දෙනෙකු සිටී එවැනි කඩ 92 ක සිටින මුළු මිනිසුන් ගණන කීයද?,6164
අඹ ගෙඩි 1200 ක් ඇත අඹ ගෙඩි 3 බැගින් පෙට්ටි වලට වෙන් කලහොත් එසේ වෙන් කළ හැකි පෙට්ටි ගණන කීයද?,400
කෙසෙල් ගෙඩි 840 ක් ඇත කෙසෙල් ගෙඩි 2 ක් බැගින් වෙන් කලහොත් එසේ වෙන් කළ හැකි කොටස් ගණන කීයද?,420
බෝල 450  ක් ඇත බෝල 5 ක් බැගින් වෙන් කල හැකි කොටස් ගණන කීයද?,90
අඹ ගෙඩි 1200 ක් ඇත අඹ ගෙඩි 16 බැගින් පෙට්ටි වලට වෙන් කලහොත් එසේ වෙන් කළ හැකි පෙට්ටි ගණන කීයද?,75
අඹ ගෙඩි 1200 ක් ඇත අඹ ගෙඩි 120 බැගින් පෙට්ටි වලට වෙන් කලහොත් එසේ වෙන් කළ හැකි පෙට්ටි ගණන කීයද?,10
බෝල 450  ක් ඇත බෝල 15 ක් බැගින් වෙන් කල හැකි කොටස් ගණන කීයද?,30
බෝල 450  ක් ඇත බෝල 25 ක් බැගින් වෙන් කල හැකි කොටස් ගණන කීයද?,18
බෝල 450  ක් ඇත බෝල 40 ක් බැගින් වෙන් කල හැකි කොටස් ගණන කීයද?,10
කඩයක මිනිසුන් 67 දෙනෙකු සිටී එවැනි කඩ 82 ක සිටින මුළු මිනිසුන් ගණන කීයද?,5494
අඹ ගෙඩි 1200 ක් ඇත අඹ ගෙඩි 80 බැගින් පෙට්ටි වලට වෙන් කලහොත් එසේ වෙන් කළ හැකි පෙට්ටි ගණන කීයද?,15
කූඩයක නාරං ගෙඩි 2 ක් ඇත එවැනි කූඩ 22 ඇති මුළු නාරං ගෙඩි ගණන කීය ද?,44
කූඩයක නාරං ගෙඩි 2 ක් ඇත එවැනි කූඩ 21 ඇති මුළු නාරං ගෙඩි ගණන කීය ද?,42
මකනයක  මිල රුපියල් 20 කි පොතක මිල මකනයක මිල මෙන් 6 ගුණයක්  පොතක මිල කොපමණ ද?,120
කෙසෙල් ගෙඩි 840 ක් ඇත කෙසෙල් ගෙඩි 140 ක් බැගින් වෙන් කලහොත් එසේ වෙන් කළ හැකි කොටස් ගණන කීයද?,6
කූඩයක නාරං ගෙඩි 2 ක් ඇත එවැනි කූඩ 16 ඇති මුළු නාරං ගෙඩි ගණන කීය ද?,32
පෙට්ටියක පැන්සල් 4 ක් තිබේ එවැනි පෙට්ටි 12 ඇති මුළු පැන්සල් ගණන කොපමණ ද?,48
යෝගට් 720 ක් ඇත යෝගට් 9 බැගින් වූ ඇසුරුම් කොපමණ සංඛ්‍යාවක් සෑදිය හැකි ද?,80
කෙසෙල් ගෙඩි 840 ක් ඇත කෙසෙල් ගෙඩි 7 ක් බැගින් වෙන් කලහොත් එසේ වෙන් කළ හැකි කොටස් ගණන කීයද?,120
පෙට්ටියක පැන්සල් 4 ක් තිබේ එවැනි පෙට්ටි 2 ඇති මුළු පැන්සල් ගණන කොපමණ ද?,8
බෝල 450  ක් ඇත බෝල 225 ක් බැගින් වෙන් කල හැකි කොටස් ගණන කීයද?,2
සුමුදුගේ දැන් වයස අවුරුදු 9 කි ඇගේ අක්කාගේ දැන් වයස සුමුදුගේ දැන් වයස මෙන් 14 ගුණයක්  අක්කාගේ දැන් වයස කීය ද?,126
කඩයක මිනිසුන් 67 දෙනෙකු සිටී එවැනි කඩ 27 ක සිටින මුළු මිනිසුන් ගණන කීයද?,1809
යෝගට් 720 ක් ඇත යෝගට් 8 බැගින් වූ ඇසුරුම් කොපමණ සංඛ්‍යාවක් සෑදිය හැකි ද?,90
පෙළකට පුටු 17 ක් තබා ඇත එවැනි පේළි 120 ක ඇති මුළු පුටු ගණන කීය ද?,2040
ගොඩක ගඩොල් කැට 493 ක් තිබේ එවැනි ගොඩවල් 15 ක ඇත ගඩොල් ප‍්‍රමාණය කොපමණ ද?,7395
සහල් මල්ලක බර කිලෝග්‍රෑම් 5 කි ලූනු  මල්ලක බර සහල් මල්ලක බර මෙන් 8 ගුණයක්  ලූනු  මල්ලක බර කොපමණ ද?,40
යෝගට් 720 ක් ඇත යෝගට් 36 බැගින් වූ ඇසුරුම් කොපමණ සංඛ්‍යාවක් සෑදිය හැකි ද?,20
කණුවකට බැලූන් බෝල 40 ක් බැගින් බැලූන් බෝල 600 ක් ගැට ගැසීමට අවශ්‍ය කණු ගණන කීය ද?,15
මීටර 60 ක් දිග ඉටි රෙද්දක් ඇත මේසවලට දැමීම සදහා සමාන දිගින් යුතු කැබලි 4 බැගින් කැබලි කොපමණ ප්‍රමාණයක් කැපිය හැකි ද?,15
අඹ ගෙඩි 1200 ක් ඇත අඹ ගෙඩි 4 බැගින් පෙට්ටි වලට වෙන් කලහොත් එසේ වෙන් කළ හැකි පෙට්ටි ගණන කීයද?,300
බස් රථයක මගීන් 58 දෙනෙකුට ගමන් කළ හැකි ය එවැනි බස් රථ 228 ක ගමන් කළ හැකි මුළු මගීන් සංඛ්‍යාව කොපමණ ද?,13224
පාර්ලිමේන්තුවක හරක් 225 ක් සිටි එවැනි පාර්ලිමේන්තු 19 ක සිටින මුළු හරක් ගණන කීයද?,4275
බෝල 450  ක් ඇත බෝල 150 ක් බැගින් වෙන් කල හැකි කොටස් ගණන කීයද?,3
