Question,Answer
කණුවකට බැලූන් බෝල 60 ක් බැගින් බැලූන් බෝල 600 ක් ගැට ගැසීමට අවශ්‍ය කණු ගණන කීය ද?,10
කණුවකට බැලූන් බෝල 100 ක් බැගින් බැලූන් බෝල 600 ක් ගැට ගැසීමට අවශ්‍ය කණු ගණන කීය ද?,6
බිස්කට් 300 ක් ඇත ළමයෙකුට බිස්කට් 2 බැගින් ළමයි කී දෙනෙකුට ලබා දිය හැකි ද?,150
බිස්කට් 300 ක් ඇත ළමයෙකුට බිස්කට් 3 බැගින් ළමයි කී දෙනෙකුට ලබා දිය හැකි ද?,100
බිස්කට් 300 ක් ඇත ළමයෙකුට බිස්කට් 4 බැගින් ළමයි කී දෙනෙකුට ලබා දිය හැකි ද?,75
බිස්කට් 300 ක් ඇත ළමයෙකුට බිස්කට් 5 බැගින් ළමයි කී දෙනෙකුට ලබා දිය හැකි ද?,60
බිස්කට් 300 ක් ඇත ළමයෙකුට බිස්කට් 6 බැගින් ළමයි කී දෙනෙකුට ලබා දිය හැකි ද?,50
බිස්කට් 300 ක් ඇත ළමයෙකුට බිස්කට් 10 බැගින් ළමයි කී දෙනෙකුට ලබා දිය හැකි ද?,30
බිස්කට් 300 ක් ඇත ළමයෙකුට බිස්කට් 12 බැගින් ළමයි කී දෙනෙකුට ලබා දිය හැකි ද?,25
බිස්කට් 300 ක් ඇත ළමයෙකුට බිස්කට් 15 බැගින් ළමයි කී දෙනෙකුට ලබා දිය හැකි ද?,20
බිස්කට් 300 ක් ඇත ළමයෙකුට බිස්කට් 20 බැගින් ළමයි කී දෙනෙකුට ලබා දිය හැකි ද?,15
බිස්කට් 300 ක් ඇත ළමයෙකුට බිස්කට් 25 බැගින් ළමයි කී දෙනෙකුට ලබා දිය හැකි ද?,12
බිස්කට් 300 ක් ඇත ළමයෙකුට බිස්කට් 30 බැගින් ළමයි කී දෙනෙකුට ලබා දිය හැකි ද?,10
බිස්කට් 300 ක් ඇත ළමයෙකුට බිස්කට් 50 බැගින් ළමයි කී දෙනෙකුට ලබා දිය හැකි ද?,6
බිස්කට් 300 ක් ඇත ළමයෙකුට බිස්කට් 100 බැගින් ළමයි කී දෙනෙකුට ලබා දිය හැකි ද?,3
බිස්කට් 300 ක් ඇත ළමයෙකුට බිස්කට් 150 බැගින් ළමයි කී දෙනෙකුට ලබා දිය හැකි ද?,2
බිස්කට් 300 ක් ඇත ළමයෙකුට බිස්කට් 300 බැගින් ළමයි කී දෙනෙකුට ලබා දිය හැකි ද?,1
මීටර 90 ක් දිග කම්බියක් ඇත සමාන කැබලි 2 බැගින් කැබලි කොපමණ ප්‍රමාණයක් කැපිය හැකි ද?,45
මීටර 90 ක් දිග කම්බියක් ඇත සමාන කැබලි 3 බැගින් කැබලි කොපමණ ප්‍රමාණයක් කැපිය හැකි ද?,30
මීටර 90 ක් දිග කම්බියක් ඇත සමාන කැබලි 5 බැගින් කැබලි කොපමණ ප්‍රමාණයක් කැපිය හැකි ද?,18
මීටර 90 ක් දිග කම්බියක් ඇත සමාන කැබලි 6 බැගින් කැබලි කොපමණ ප්‍රමාණයක් කැපිය හැකි ද?,15
මීටර 90 ක් දිග කම්බියක් ඇත සමාන කැබලි 10 බැගින් කැබලි කොපමණ ප්‍රමාණයක් කැපිය හැකි ද?,9
මීටර 90 ක් දිග කම්බියක් ඇත සමාන කැබලි 15 බැගින් කැබලි කොපමණ ප්‍රමාණයක් කැපිය හැකි ද?,6
මීටර 90 ක් දිග කම්බියක් ඇත සමාන කැබලි 30 බැගින් කැබලි කොපමණ ප්‍රමාණයක් කැපිය හැකි ද?,3
මීටර 90 ක් දිග කම්බියක් ඇත සමාන කැබලි 45 බැගින් කැබලි කොපමණ ප්‍රමාණයක් කැපිය හැකි ද?,2
මීටර 90 ක් දිග කම්බියක් ඇත සමාන කැබලි 90 බැගින් කැබලි කොපමණ ප්‍රමාණයක් කැපිය හැකි ද?,1
මීටර 60 ක් දිග ඉටි රෙද්දක් ඇත මේසවලට දැමීම සදහා සමාන දිගින් යුතු කැබලි 2 බැගින් කැබලි කොපමණ ප්‍රමාණයක් කැපිය හැකි ද?,30
මීටර 60 ක් දිග ඉටි රෙද්දක් ඇත මේසවලට දැමීම සදහා සමාන දිගින් යුතු කැබලි 3 බැගින් කැබලි කොපමණ ප්‍රමාණයක් කැපිය හැකි ද?,20
මීටර 60 ක් දිග ඉටි රෙද්දක් ඇත මේසවලට දැමීම සදහා සමාන දිගින් යුතු කැබලි 4 බැගින් කැබලි කොපමණ ප්‍රමාණයක් කැපිය හැකි ද?,15
මීටර 60 ක් දිග ඉටි රෙද්දක් ඇත මේසවලට දැමීම සදහා සමාන දිගින් යුතු කැබලි 5 බැගින් කැබලි කොපමණ ප්‍රමාණයක් කැපිය හැකි ද?,12
මීටර 60 ක් දිග ඉටි රෙද්දක් ඇත මේසවලට දැමීම සදහා සමාන දිගින් යුතු කැබලි 6 බැගින් කැබලි කොපමණ ප්‍රමාණයක් කැපිය හැකි ද?,10
මීටර 60 ක් දිග ඉටි රෙද්දක් ඇත මේසවලට දැමීම සදහා සමාන දිගින් යුතු කැබලි 10 බැගින් කැබලි කොපමණ ප්‍රමාණයක් කැපිය හැකි ද?,6
මීටර 60 ක් දිග ඉටි රෙද්දක් ඇත මේසවලට දැමීම සදහා සමාන දිගින් යුතු කැබලි 12 බැගින් කැබලි කොපමණ ප්‍රමාණයක් කැපිය හැකි ද?,5
මීටර 60 ක් දිග ඉටි රෙද්දක් ඇත මේසවලට දැමීම සදහා සමාන දිගින් යුතු කැබලි 15 බැගින් කැබලි කොපමණ ප්‍රමාණයක් කැපිය හැකි ද?,4
මීටර 60 ක් දිග ඉටි රෙද්දක් ඇත මේසවලට දැමීම සදහා සමාන දිගින් යුතු කැබලි 20 බැගින් කැබලි කොපමණ ප්‍රමාණයක් කැපිය හැකි ද?,3
මීටර 60 ක් දිග ඉටි රෙද්දක් ඇත මේසවලට දැමීම සදහා සමාන දිගින් යුතු කැබලි 30 බැගින් කැබලි කොපමණ ප්‍රමාණයක් කැපිය හැකි ද?,2
පැන්සල් 420 ක් ඇත ළමයෙකුට පැන්සල් 2 බැගින් ළමයි කී දෙනෙකුට ලබා දිය හැකි ද?,210
පැන්සල් 420 ක් ඇත ළමයෙකුට පැන්සල් 3 බැගින් ළමයි කී දෙනෙකුට ලබා දිය හැකි ද?,140
පැන්සල් 420 ක් ඇත ළමයෙකුට පැන්සල් 4 බැගින් ළමයි කී දෙනෙකුට ලබා දිය හැකි ද?,105
පැන්සල් 420 ක් ඇත ළමයෙකුට පැන්සල් 5 බැගින් ළමයි කී දෙනෙකුට ලබා දිය හැකි ද?,84
පැන්සල් 420 ක් ඇත ළමයෙකුට පැන්සල් 6 බැගින් ළමයි කී දෙනෙකුට ලබා දිය හැකි ද?,70
පැන්සල් 420 ක් ඇත ළමයෙකුට පැන්සල් 7 බැගින් ළමයි කී දෙනෙකුට ලබා දිය හැකි ද?,60
පැන්සල් 420 ක් ඇත ළමයෙකුට පැන්සල් 10 බැගින් ළමයි කී දෙනෙකුට ලබා දිය හැකි ද?,42
පැන්සල් 420 ක් ඇත ළමයෙකුට පැන්සල් 14 බැගින් ළමයි කී දෙනෙකුට ලබා දිය හැකි ද?,30
පැන්සල් 420 ක් ඇත ළමයෙකුට පැන්සල් 15 බැගින් ළමයි කී දෙනෙකුට ලබා දිය හැකි ද?,28
පැන්සල් 420 ක් ඇත ළමයෙකුට පැන්සල් 20 බැගින් ළමයි කී දෙනෙකුට ලබා දිය හැකි ද?,21
පැන්සල් 420 ක් ඇත ළමයෙකුට පැන්සල් 21 බැගින් ළමයි කී දෙනෙකුට ලබා දිය හැකි ද?,20
පැන්සල් 420 ක් ඇත ළමයෙකුට පැන්සල් 28 බැගින් ළමයි කී දෙනෙකුට ලබා දිය හැකි ද?,15
පැන්සල් 420 ක් ඇත ළමයෙකුට පැන්සල් 30 බැගින් ළමයි කී දෙනෙකුට ලබා දිය හැකි ද?,14
පැන්සල් 420 ක් ඇත ළමයෙකුට පැන්සල් 42 බැගින් ළමයි කී දෙනෙකුට ලබා දිය හැකි ද?,10
පැන්සල් 420 ක් ඇත ළමයෙකුට පැන්සල් 60 බැගින් ළමයි කී දෙනෙකුට ලබා දිය හැකි ද?,7
පැන්සල් 420 ක් ඇත ළමයෙකුට පැන්සල් 70 බැගින් ළමයි කී දෙනෙකුට ලබා දිය හැකි ද?,6
පැන්සල් 420 ක් ඇත ළමයෙකුට පැන්සල් 84 බැගින් ළමයි කී දෙනෙකුට ලබා දිය හැකි ද?,5
පැන්සල් 420 ක් ඇත ළමයෙකුට පැන්සල් 105 බැගින් ළමයි කී දෙනෙකුට ලබා දිය හැකි ද?,4
පැන්සල් 420 ක් ඇත ළමයෙකුට පැන්සල් 140 බැගින් ළමයි කී දෙනෙකුට ලබා දිය හැකි ද?,3
පැන්සල් 420 ක් ඇත ළමයෙකුට පැන්සල් 210 බැගින් ළමයි කී දෙනෙකුට ලබා දිය හැකි ද?,2
යෝගට් 720 ක් ඇත යෝගට් 2 බැගින් වූ ඇසුරුම් කොපමණ සංඛ්‍යාවක් සෑදිය හැකි ද?,360
යෝගට් 720 ක් ඇත යෝගට් 3 බැගින් වූ ඇසුරුම් කොපමණ සංඛ්‍යාවක් සෑදිය හැකි ද?,240
යෝගට් 720 ක් ඇත යෝගට් 4 බැගින් වූ ඇසුරුම් කොපමණ සංඛ්‍යාවක් සෑදිය හැකි ද?,180
යෝගට් 720 ක් ඇත යෝගට් 5 බැගින් වූ ඇසුරුම් කොපමණ සංඛ්‍යාවක් සෑදිය හැකි ද?,144
යෝගට් 720 ක් ඇත යෝගට් 6 බැගින් වූ ඇසුරුම් කොපමණ සංඛ්‍යාවක් සෑදිය හැකි ද?,120
යෝගට් 720 ක් ඇත යෝගට් 8 බැගින් වූ ඇසුරුම් කොපමණ සංඛ්‍යාවක් සෑදිය හැකි ද?,90
යෝගට් 720 ක් ඇත යෝගට් 9 බැගින් වූ ඇසුරුම් කොපමණ සංඛ්‍යාවක් සෑදිය හැකි ද?,80
යෝගට් 720 ක් ඇත යෝගට් 10 බැගින් වූ ඇසුරුම් කොපමණ සංඛ්‍යාවක් සෑදිය හැකි ද?,72
යෝගට් 720 ක් ඇත යෝගට් 12 බැගින් වූ ඇසුරුම් කොපමණ සංඛ්‍යාවක් සෑදිය හැකි ද?,60
යෝගට් 720 ක් ඇත යෝගට් 15 බැගින් වූ ඇසුරුම් කොපමණ සංඛ්‍යාවක් සෑදිය හැකි ද?,48
යෝගට් 720 ක් ඇත යෝගට් 16 බැගින් වූ ඇසුරුම් කොපමණ සංඛ්‍යාවක් සෑදිය හැකි ද?,45
යෝගට් 720 ක් ඇත යෝගට් 18 බැගින් වූ ඇසුරුම් කොපමණ සංඛ්‍යාවක් සෑදිය හැකි ද?,40
යෝගට් 720 ක් ඇත යෝගට් 20 බැගින් වූ ඇසුරුම් කොපමණ සංඛ්‍යාවක් සෑදිය හැකි ද?,36
යෝගට් 720 ක් ඇත යෝගට් 24 බැගින් වූ ඇසුරුම් කොපමණ සංඛ්‍යාවක් සෑදිය හැකි ද?,30
යෝගට් 720 ක් ඇත යෝගට් 30 බැගින් වූ ඇසුරුම් කොපමණ සංඛ්‍යාවක් සෑදිය හැකි ද?,24
යෝගට් 720 ක් ඇත යෝගට් 36 බැගින් වූ ඇසුරුම් කොපමණ සංඛ්‍යාවක් සෑදිය හැකි ද?,20
යෝගට් 720 ක් ඇත යෝගට් 40 බැගින් වූ ඇසුරුම් කොපමණ සංඛ්‍යාවක් සෑදිය හැකි ද?,18
යෝගට් 720 ක් ඇත යෝගට් 45 බැගින් වූ ඇසුරුම් කොපමණ සංඛ්‍යාවක් සෑදිය හැකි ද?,16
යෝගට් 720 ක් ඇත යෝගට් 48 බැගින් වූ ඇසුරුම් කොපමණ සංඛ්‍යාවක් සෑදිය හැකි ද?,15
යෝගට් 720 ක් ඇත යෝගට් 60 බැගින් වූ ඇසුරුම් කොපමණ සංඛ්‍යාවක් සෑදිය හැකි ද?,12
යෝගට් 720 ක් ඇත යෝගට් 72 බැගින් වූ ඇසුරුම් කොපමණ සංඛ්‍යාවක් සෑදිය හැකි ද?,10
යෝගට් 720 ක් ඇත යෝගට් 80 බැගින් වූ ඇසුරුම් කොපමණ සංඛ්‍යාවක් සෑදිය හැකි ද?,9
යෝගට් 720 ක් ඇත යෝගට් 90 බැගින් වූ ඇසුරුම් කොපමණ සංඛ්‍යාවක් සෑදිය හැකි ද?,8
යෝගට් 720 ක් ඇත යෝගට් 120 බැගින් වූ ඇසුරුම් කොපමණ සංඛ්‍යාවක් සෑදිය හැකි ද?,6
යෝගට් 720 ක් ඇත යෝගට් 144 බැගින් වූ ඇසුරුම් කොපමණ සංඛ්‍යාවක් සෑදිය හැකි ද?,5
යෝගට් 720 ක් ඇත යෝගට් 180 බැගින් වූ ඇසුරුම් කොපමණ සංඛ්‍යාවක් සෑදිය හැකි ද?,4
යෝගට් 720 ක් ඇත යෝගට් 240 බැගින් වූ ඇසුරුම් කොපමණ සංඛ්‍යාවක් සෑදිය හැකි ද?,3
යෝගට් 720 ක් ඇත යෝගට් 360 බැගින් වූ ඇසුරුම් කොපමණ සංඛ්‍යාවක් සෑදිය හැකි ද?,2
කෙසෙල් ගෙඩි 840 ක් ඇත කෙසෙල් ගෙඩි 2 ක් බැගින් වෙන් කලහොත් එසේ වෙන් කළ හැකි කොටස් ගණන කීයද?,420
කෙසෙල් ගෙඩි 840 ක් ඇත කෙසෙල් ගෙඩි 3 ක් බැගින් වෙන් කලහොත් එසේ වෙන් කළ හැකි කොටස් ගණන කීයද?,280
කෙසෙල් ගෙඩි 840 ක් ඇත කෙසෙල් ගෙඩි 4 ක් බැගින් වෙන් කලහොත් එසේ වෙන් කළ හැකි කොටස් ගණන කීයද?,210
කෙසෙල් ගෙඩි 840 ක් ඇත කෙසෙල් ගෙඩි 5 ක් බැගින් වෙන් කලහොත් එසේ වෙන් කළ හැකි කොටස් ගණන කීයද?,168
කෙසෙල් ගෙඩි 840 ක් ඇත කෙසෙල් ගෙඩි 6 ක් බැගින් වෙන් කලහොත් එසේ වෙන් කළ හැකි කොටස් ගණන කීයද?,140
කෙසෙල් ගෙඩි 840 ක් ඇත කෙසෙල් ගෙඩි 7 ක් බැගින් වෙන් කලහොත් එසේ වෙන් කළ හැකි කොටස් ගණන කීයද?,120
කෙසෙල් ගෙඩි 840 ක් ඇත කෙසෙල් ගෙඩි 8 ක් බැගින් වෙන් කලහොත් එසේ වෙන් කළ හැකි කොටස් ගණන කීයද?,105
කෙසෙල් ගෙඩි 840 ක් ඇත කෙසෙල් ගෙඩි 10 ක් බැගින් වෙන් කලහොත් එසේ වෙන් කළ හැකි කොටස් ගණන කීයද?,84
කෙසෙල් ගෙඩි 840 ක් ඇත කෙසෙල් ගෙඩි 12 ක් බැගින් වෙන් කලහොත් එසේ වෙන් කළ හැකි කොටස් ගණන කීයද?,70
කෙසෙල් ගෙඩි 840 ක් ඇත කෙසෙල් ගෙඩි 14 ක් බැගින් වෙන් කලහොත් එසේ වෙන් කළ හැකි කොටස් ගණන කීයද?,60
කෙසෙල් ගෙඩි 840 ක් ඇත කෙසෙල් ගෙඩි 15 ක් බැගින් වෙන් කලහොත් එසේ වෙන් කළ හැකි කොටස් ගණන කීයද?,56
කෙසෙල් ගෙඩි 840 ක් ඇත කෙසෙල් ගෙඩි 21 ක් බැගින් වෙන් කලහොත් එසේ වෙන් කළ හැකි කොටස් ගණන කීයද?,40
කෙසෙල් ගෙඩි 840 ක් ඇත කෙසෙල් ගෙඩි 24 ක් බැගින් වෙන් කලහොත් එසේ වෙන් කළ හැකි කොටස් ගණන කීයද?,35
කෙසෙල් ගෙඩි 840 ක් ඇත කෙසෙල් ගෙඩි 28 ක් බැගින් වෙන් කලහොත් එසේ වෙන් කළ හැකි කොටස් ගණන කීයද?,30
කෙසෙල් ගෙඩි 840 ක් ඇත කෙසෙල් ගෙඩි 30 ක් බැගින් වෙන් කලහොත් එසේ වෙන් කළ හැකි කොටස් ගණන කීයද?,28
කෙසෙල් ගෙඩි 840 ක් ඇත කෙසෙල් ගෙඩි 35 ක් බැගින් වෙන් කලහොත් එසේ වෙන් කළ හැකි කොටස් ගණන කීයද?,24
කෙසෙල් ගෙඩි 840 ක් ඇත කෙසෙල් ගෙඩි 40 ක් බැගින් වෙන් කලහොත් එසේ වෙන් කළ හැකි කොටස් ගණන කීයද?,21
කෙසෙල් ගෙඩි 840 ක් ඇත කෙසෙල් ගෙඩි 56 ක් බැගින් වෙන් කලහොත් එසේ වෙන් කළ හැකි කොටස් ගණන කීයද?,15
කෙසෙල් ගෙඩි 840 ක් ඇත කෙසෙල් ගෙඩි 60 ක් බැගින් වෙන් කලහොත් එසේ වෙන් කළ හැකි කොටස් ගණන කීයද?,14
කෙසෙල් ගෙඩි 840 ක් ඇත කෙසෙල් ගෙඩි 70 ක් බැගින් වෙන් කලහොත් එසේ වෙන් කළ හැකි කොටස් ගණන කීයද?,12
කෙසෙල් ගෙඩි 840 ක් ඇත කෙසෙල් ගෙඩි 84 ක් බැගින් වෙන් කලහොත් එසේ වෙන් කළ හැකි කොටස් ගණන කීයද?,10
කෙසෙල් ගෙඩි 840 ක් ඇත කෙසෙල් ගෙඩි 105 ක් බැගින් වෙන් කලහොත් එසේ වෙන් කළ හැකි කොටස් ගණන කීයද?,8
කෙසෙල් ගෙඩි 840 ක් ඇත කෙසෙල් ගෙඩි 120 ක් බැගින් වෙන් කලහොත් එසේ වෙන් කළ හැකි කොටස් ගණන කීයද?,7
කෙසෙල් ගෙඩි 840 ක් ඇත කෙසෙල් ගෙඩි 140 ක් බැගින් වෙන් කලහොත් එසේ වෙන් කළ හැකි කොටස් ගණන කීයද?,6
කෙසෙල් ගෙඩි 840 ක් ඇත කෙසෙල් ගෙඩි 168 ක් බැගින් වෙන් කලහොත් එසේ වෙන් කළ හැකි කොටස් ගණන කීයද?,5
කෙසෙල් ගෙඩි 840 ක් ඇත කෙසෙල් ගෙඩි 210 ක් බැගින් වෙන් කලහොත් එසේ වෙන් කළ හැකි කොටස් ගණන කීයද?,4
කෙසෙල් ගෙඩි 840 ක් ඇත කෙසෙල් ගෙඩි 280 ක් බැගින් වෙන් කලහොත් එසේ වෙන් කළ හැකි කොටස් ගණන කීයද?,3
කෙසෙල් ගෙඩි 840 ක් ඇත කෙසෙල් ගෙඩි 420 ක් බැගින් වෙන් කලහොත් එසේ වෙන් කළ හැකි කොටස් ගණන කීයද?,2
පොත් 900 ක් ඇත අයකුට 2 බැගින් කී දෙනෙකුට ලබා දිය හැකි ද?,450
පොත් 900 ක් ඇත අයකුට 3 බැගින් කී දෙනෙකුට ලබා දිය හැකි ද?,300
පොත් 900 ක් ඇත අයකුට 4 බැගින් කී දෙනෙකුට ලබා දිය හැකි ද?,225
පොත් 900 ක් ඇත අයකුට 5 බැගින් කී දෙනෙකුට ලබා දිය හැකි ද?,180
පොත් 900 ක් ඇත අයකුට 6 බැගින් කී දෙනෙකුට ලබා දිය හැකි ද?,150
පොත් 900 ක් ඇත අයකුට 9 බැගින් කී දෙනෙකුට ලබා දිය හැකි ද?,100
පොත් 900 ක් ඇත අයකුට 10 බැගින් කී දෙනෙකුට ලබා දිය හැකි ද?,90
පොත් 900 ක් ඇත අයකුට 12 බැගින් කී දෙනෙකුට ලබා දිය හැකි ද?,75
පොත් 900 ක් ඇත අයකුට 15 බැගින් කී දෙනෙකුට ලබා දිය හැකි ද?,60
පොත් 900 ක් ඇත අයකුට 18 බැගින් කී දෙනෙකුට ලබා දිය හැකි ද?,50
පොත් 900 ක් ඇත අයකුට 20 බැගින් කී දෙනෙකුට ලබා දිය හැකි ද?,45
පොත් 900 ක් ඇත අයකුට 25 බැගින් කී දෙනෙකුට ලබා දිය හැකි ද?,36
පොත් 900 ක් ඇත අයකුට 30 බැගින් කී දෙනෙකුට ලබා දිය හැකි ද?,30
පොත් 900 ක් ඇත අයකුට 36 බැගින් කී දෙනෙකුට ලබා දිය හැකි ද?,25
පොත් 900 ක් ඇත අයකුට 45 බැගින් කී දෙනෙකුට ලබා දිය හැකි ද?,20
පොත් 900 ක් ඇත අයකුට 50 බැගින් කී දෙනෙකුට ලබා දිය හැකි ද?,18
පොත් 900 ක් ඇත අයකුට 60 බැගින් කී දෙනෙකුට ලබා දිය හැකි ද?,15
පොත් 900 ක් ඇත අයකුට 75 බැගින් කී දෙනෙකුට ලබා දිය හැකි ද?,12
පොත් 900 ක් ඇත අයකුට 90 බැගින් කී දෙනෙකුට ලබා දිය හැකි ද?,10
පොත් 900 ක් ඇත අයකුට 100 බැගින් කී දෙනෙකුට ලබා දිය හැකි ද?,9
පොත් 900 ක් ඇත අයකුට 150 බැගින් කී දෙනෙකුට ලබා දිය හැකි ද?,6
පොත් 900 ක් ඇත අයකුට 180 බැගින් කී දෙනෙකුට ලබා දිය හැකි ද?,5
පොත් 900 ක් ඇත අයකුට 225 බැගින් කී දෙනෙකුට ලබා දිය හැකි ද?,4
පොත් 900 ක් ඇත අයකුට 300 බැගින් කී දෙනෙකුට ලබා දිය හැකි ද?,3
පොත් 900 ක් ඇත අයකුට 450 බැගින් කී දෙනෙකුට ලබා දිය හැකි ද?,2
බෝල 450  ක් ඇත බෝල 2 ක් බැගින් වෙන් කල හැකි කොටස් ගණන කීයද?,225
බෝල 450  ක් ඇත බෝල 3 ක් බැගින් වෙන් කල හැකි කොටස් ගණන කීයද?,150
බෝල 450  ක් ඇත බෝල 5 ක් බැගින් වෙන් කල හැකි කොටස් ගණන කීයද?,90
බෝල 450  ක් ඇත  බෝල 6 ක් බැගින් වෙන් කල හැකි කොටස් ගණන කීයද?,75
බෝල 450  ක් ඇත බෝල 9 ක් බැගින් වෙන් කල හැකි කොටස් ගණන කීයද?,50
බෝල 450  ක් ඇත බෝල 10 ක් බැගින් වෙන් කල හැකි කොටස් ගණන කීයද?,45
බෝල 450  ක් ඇත බෝල 15 ක් බැගින් වෙන් කල හැකි කොටස් ගණන කීයද?,30
බෝල 450  ක් ඇත බෝල 18 ක් බැගින් වෙන් කල හැකි කොටස් ගණන කීයද?,25
බෝල 450  ක් ඇත බෝල 25 ක් බැගින් වෙන් කල හැකි කොටස් ගණන කීයද?,18
බෝල 450  ක් ඇත බෝල 35 ක් බැගින් වෙන් කල හැකි කොටස් ගණන කීයද?,15
බෝල 450  ක් ඇත බෝල 40 ක් බැගින් වෙන් කල හැකි කොටස් ගණන කීයද?,10
බෝල 450  ක් ඇත බෝල 50 ක් බැගින් වෙන් කල හැකි කොටස් ගණන කීයද?,9
බෝල 450  ක් ඇත බෝල 75 ක් බැගින් වෙන් කල හැකි කොටස් ගණන කීයද?,6
බෝල 450  ක් ඇත බෝල 90 ක් බැගින් වෙන් කල හැකි කොටස් ගණන කීයද?,5
බෝල 450  ක් ඇත බෝල 150 ක් බැගින් වෙන් කල හැකි කොටස් ගණන කීයද?,3
බෝල 450  ක් ඇත බෝල 225 ක් බැගින් වෙන් කල හැකි කොටස් ගණන කීයද?,2
අඹ ගෙඩි 1200 ක් ඇත අඹ ගෙඩි 2 බැගින් පෙට්ටි වලට වෙන් කලහොත් එසේ වෙන් කළ හැකි පෙට්ටි ගණන කීයද?,600
අඹ ගෙඩි 1200 ක් ඇත අඹ ගෙඩි 3 බැගින් පෙට්ටි වලට වෙන් කලහොත් එසේ වෙන් කළ හැකි පෙට්ටි ගණන කීයද?,400
අඹ ගෙඩි 1200 ක් ඇත අඹ ගෙඩි 4 බැගින් පෙට්ටි වලට වෙන් කලහොත් එසේ වෙන් කළ හැකි පෙට්ටි ගණන කීයද?,300
අඹ ගෙඩි 1200 ක් ඇත අඹ ගෙඩි 5 බැගින් පෙට්ටි වලට වෙන් කලහොත් එසේ වෙන් කළ හැකි පෙට්ටි ගණන කීයද?,240
අඹ ගෙඩි 1200 ක් ඇත අඹ ගෙඩි 6 බැගින් පෙට්ටි වලට වෙන් කලහොත් එසේ වෙන් කළ හැකි පෙට්ටි ගණන කීයද?,200
අඹ ගෙඩි 1200 ක් ඇත අඹ ගෙඩි 8 බැගින් පෙට්ටි වලට වෙන් කලහොත් එසේ වෙන් කළ හැකි පෙට්ටි ගණන කීයද?,150
අඹ ගෙඩි 1200 ක් ඇත අඹ ගෙඩි 10 බැගින් පෙට්ටි වලට වෙන් කලහොත් එසේ වෙන් කළ හැකි පෙට්ටි ගණන කීයද?,120
අඹ ගෙඩි 1200 ක් ඇත අඹ ගෙඩි 12 බැගින් පෙට්ටි වලට වෙන් කලහොත් එසේ වෙන් කළ හැකි පෙට්ටි ගණන කීයද?,100
අඹ ගෙඩි 1200 ක් ඇත අඹ ගෙඩි 15 බැගින් පෙට්ටි වලට වෙන් කලහොත් එසේ වෙන් කළ හැකි පෙට්ටි ගණන කීයද?,80
අඹ ගෙඩි 1200 ක් ඇත අඹ ගෙඩි 16 බැගින් පෙට්ටි වලට වෙන් කලහොත් එසේ වෙන් කළ හැකි පෙට්ටි ගණන කීයද?,75
අඹ ගෙඩි 1200 ක් ඇත අඹ ගෙඩි 20 බැගින් පෙට්ටි වලට වෙන් කලහොත් එසේ වෙන් කළ හැකි පෙට්ටි ගණන කීයද?,60
අඹ ගෙඩි 1200 ක් ඇත අඹ ගෙඩි 24 බැගින් පෙට්ටි වලට වෙන් කලහොත් එසේ වෙන් කළ හැකි පෙට්ටි ගණන කීයද?,50
